0.542124	-300.058608	0.069
1.304028	-300.07326	0.077
2.168496	-300.087912	0.056
0.791208	-300.102564	0.095
2.578752	-300.117216	0.061
0.556776	-300.131868	0.064
0.673992	-300.14652	0.142
1.626372	-300.14652	0.088
2.227104	-300.14652	0.054
1.816848	-300.161172	0.025
2.813184	-300.161172	0.08
2.989008	-300.175824	0.106
1.054944	-300.190476	0.112
1.75824	-300.190476	0.035
2.666664	-300.190476	0.054
0.14652	-300.205128	0.058
0.908424	-300.205128	0.094
0.263736	-300.234432	0.059
4.83516	-300.234432	0.12
1.699632	-300.249084	0.042
1.860804	-300.249084	0.099
2.05128	-300.249084	0.089
1.128204	-300.263736	0.037
1.509156	-300.263736	0.071
2.446884	-300.278388	0.069
0.380952	-300.29304	0.146
2.285712	-300.29304	0.084
3.252744	-300.29304	0.081
2.959704	-300.322344	0.129
0.087912	-300.336996	0.05
1.216116	-300.351648	0.117
2.1978	-300.351648	0.068
1.567764	-300.351648	0.052
1.435896	-300.351648	0.054
3.794868	-300.351648	0.141
4.600728	-300.351648	0.076
4.776552	-300.3663	0.132
4.527468	-300.380952	0.035
0.205128	-300.395604	0.171
1.919412	-300.410256	0.181
2.886444	-300.410256	0.058
3.648348	-300.424908	0.073
4.117212	-300.424908	0.127
0.527472	-300.43956	0.161
2.608056	-300.43956	0.117
2.388276	-300.454212	0.064
3.326004	-300.468864	0.118
3.912084	-300.468864	0.082
1.523808	-300.483516	0.13
3.15018	-300.483516	0.169
0.336996	-300.498168	0.223
2.183148	-300.498168	0.04
2.989008	-300.498168	0.043
1.289376	-300.51282	0.045
0.747252	-300.51282	0.174
2.534796	-300.51282	0.069
3.51648	-300.51282	0.141
2.285712	-300.527472	0.056
4.17582	-300.527472	0.081
0.190476	-300.542124	0.049
2.915748	-300.542124	0.052
1.934064	-300.571428	0.059
2.769228	-300.58608	0.115
1.4652	-300.600732	0.066
4.380948	-300.600732	0.033
2.505492	-300.615384	0.052
3.619044	-300.615384	0.088
1.597068	-300.630036	0.115
1.201464	-300.630036	0.093
2.593404	-300.630036	0.068
3.00366	-300.630036	0.073
4.234428	-300.630036	0.086
0.102564	-300.644688	0.049
1.8315	-300.644688	0.12
3.2967	-300.644688	0.099
4.498164	-300.644688	0.063
0.776556	-300.65934	0.071
2.446884	-300.673992	0.079
0.424908	-300.688644	0.093
2.27106	-300.688644	0.061
0.981684	-300.703296	0.047
0.249084	-300.717948	0.159
2.63736	-300.717948	0.086
4.131864	-300.717948	0.077
1.39194	-300.7326	0.105
0.673992	-300.7326	0.076
2.915748	-300.7326	0.073
1.714284	-300.747252	0.137
1.553112	-300.747252	0.057
1.0989	-300.761904	0.104
1.274724	-300.761904	0.125
1.860804	-300.761904	0.098
2.402928	-300.761904	0.073
3.44322	-300.761904	0.117
3.926736	-300.80586	0.169
3.721608	-300.80586	0.064
3.267396	-300.820512	0.112
2.71062	-300.820512	0.081
1.450548	-300.835164	0.057
2.285712	-300.835164	0.071
0.776556	-300.849816	0.098
0.95238	-300.864468	0.114
1.567764	-300.87912	0.109
1.787544	-300.87912	0.079
2.945052	-300.87912	0.073
3.692304	-300.87912	0.054
4.46886	-300.87912	0.059
2.007324	-300.893772	0.076
3.384612	-300.893772	0.095
2.798532	-300.893772	0.097
2.476188	-300.923076	0.098
4.600728	-300.923076	0.066
4.776552	-300.923076	0.073
0.893772	-300.923076	0.031
2.578752	-300.937728	0.094
3.047616	-300.937728	0.059
0.615384	-300.937728	0.078
0.835164	-300.95238	0.109
1.084248	-300.95238	0.127
1.289376	-300.95238	0.088
0.717948	-300.967032	0.076
2.12454	-300.967032	0.059
2.329668	-300.967032	0.112
3.560436	-300.967032	0.1
1.934064	-300.981684	0.139
3.135528	-300.981684	0.073
0.468864	-300.981684	0.125
0.117216	-300.996336	0.096
0.205128	-301.010988	0.045
2.85714	-301.010988	0.058
1.4652	-301.02564	0.071
1.772892	-301.02564	0.049
3.44322	-301.02564	0.132
2.695968	-301.02564	0.078
3.73626	-301.040292	0.066
0.249084	-301.054944	0.037
2.5641	-301.054944	0.088
0.380952	-301.069596	0.075
0.07326	-301.069596	0.086
2.329668	-301.084248	0.09
3.135528	-301.084248	0.043
4.791204	-301.084248	0.081
1.523808	-301.0989	0.107
